Number	Label	Degrees_Longitude	Degrees_Latitude
48	m048	-107.62118345947326	33.875952222664054
49	m049	-107.61526328485814	33.87923685625113
50	m050	-107.60935721467591	33.88423262811606
51	m051	-107.60252020695944	33.89216385896817
52	m052	-107.59758575721801	33.90338563371294
53	m053	-107.59676576700689	33.91608460623603
54	m054	-107.59682882105092	33.93294038073386
55	m055	-107.60026446292811	33.95150641900251
56	m056	-107.61182995607564	33.97322489395038
57	m057	-107.63112618436647	33.99399882511615
58	m058	-107.6641110178216	34.018220217229604
59	m059	-107.70404492066463	34.04082878379967
60	m060	-107.63288107305435	33.8821672964696
61	m061	-107.63238666380137	33.8845987191372
62	m062	-107.63205356857897	33.88800960595837
63	m063	-107.63289388082491	33.89280738993205
64	m064	-107.63440782604786	33.8984973482349
65	m065	-107.63917554382459	33.905186501253105
66	m066	-107.6464774816099	33.912269147578094
67	m067	-107.65671476520345	33.919410624330894
68	m068	-107.67216081039545	33.92574453625863
69	m069	-107.69124219422623	33.93008123332935
70	m070	-107.71482810018692	33.930840510410256
71	m071	-107.74235853963435	33.92860928710454
72	m072	-107.77683213203183	33.9232354101053
73	m073	-107.81173722434184	33.90660038351692
74	m074	-107.85091035679	33.87894227909263
75	m075	-108.19013596602035	30.70897226321872
76	m076	-107.63659623016471	29.932076501547698
77	m077	-107.95297784646608	30.343041327821474
78	m078	-108.11769273985881	34.09701774128982
79	m079	-107.66705026551874	33.51023185704644
80	m080	-108.29095406691236	33.725603635836464
81	m081	-108.92571405463647	33.271550488480024
82	m082	-108.7843237186943	34.05275232370676
83	m083	-111.61138182124911	31.762462645394024
84	m084	-107.49197954867796	33.123191752982805
85	m085	-105.62685181019003	34.093593963620044
86	m086	-108.56462752069	31.88905759824123
87	m087	-107.39549107016894	33.02477025080366
88	m088	-105.15490617375238	32.69495002990718
89	m089	-106.07421442909957	33.19902066913789
90	m090	-105.97014557967759	32.88221456339053
91	m091	-105.26721771209363	33.917972583677184
92	m092	-107.65242567180589	33.26774212570222
93	m093	-107.31442194276313	33.8942487506795
94	m094	-106.9186631063054	33.870009556035804
95	m095	-108.65423561716327	32.25549049638676
96	m096	-106.89116140191993	34.21503999670285
97	m097	-106.41591369773575	34.205155129731146
98	m098	-105.87624338339876	34.351882164891116
99	m099	-106.4756504813379	33.6793202686875
100	m100	-105.98810979505032	33.528883257618965
101	m101	-103.99895985798963	32.702133806943706
102	m102	-107.13091737030045	33.89100488995698
103	m103	-107.0525399394197	33.82635956327328
104	m104	-106.95557562655947	33.794402398244614
105	m105	-107.9533167342436	34.05298590639793
106	m106	-107.98372067183799	33.82865086886597
107	m107	-108.40028186992504	34.10399782246845
108	m108	-108.77360413089532	32.85187461563992
109	m109	-107.67273956778558	33.59836224880739
110	m110	-107.63981216692653	33.337966165807565
111	m111	-108.61098543547072	33.6088109789179
112	m112	-108.45422880298659	31.330818218070725
113	m113	-104.7928253373419	33.854469469636896
114	m114	-102.74853001053206	32.94807099780028
115	m115	-102.40276783315818	33.21517335544702
116	m116	-101.14009900767392	30.49239235168541
117	m117	-102.09485014949436	34.690047894348496
118	m118	-102.72332543241716	31.554197113018994
119	m119	-103.94588663733458	30.44528661513126
120	m120	-106.24614125453115	35.55842342766768
121	m121	-107.64010722978664	33.879112204023514
122	m122	-107.64028871911763	33.87701904764535
123	m123	-107.6415568378183	33.87896211302821
124	m124	-107.64221344009708	33.877645887660165
125	m125	-107.63804345679577	33.87731014485838
