name,part,lat,long
m060,Main Array,33.8821672964696,-107.63288107305435
m061,Main Array,33.8845987191372,-107.63238666380137
m062,Main Array,33.88800960595837,-107.63205356857897
m063,Main Array,33.89280738993205,-107.63289388082491
m064,Main Array,33.8984973482349,-107.63440782604786
m065,Main Array,33.905186501253105,-107.63917554382459
m066,Main Array,33.912269147578094,-107.6464774816099
m067,Main Array,33.919410624330894,-107.65671476520345
m068,Main Array,33.92574453625863,-107.67216081039545
m069,Main Array,33.93008123332935,-107.69124219422623
m070,Main Array,33.930840510410256,-107.71482810018692
m071,Main Array,33.92860928710454,-107.74235853963435
m072,Main Array,33.9232354101053,-107.77683213203183
m073,Main Array,33.90660038351692,-107.81173722434184
m074,Main Array,33.87894227909263,-107.85091035679
m075,Main Array,30.70897226321872,-108.19013596602035
m076,Main Array,29.932076501547698,-107.63659623016471
m077,Main Array,30.343041327821474,-107.95297784646608
m078,Main Array,34.09701774128982,-108.11769273985881
m079,Main Array,33.51023185704644,-107.66705026551874
m080,Main Array,33.725603635836464,-108.29095406691236
m081,Main Array,33.271550488480024,-108.92571405463647
m082,Main Array,34.05275232370676,-108.7843237186943
m083,Main Array,31.762462645394024,-111.61138182124911
m084,Main Array,33.123191752982805,-107.49197954867796
m085,Main Array,34.093593963620044,-105.62685181019003
m086,Main Array,31.88905759824123,-108.56462752069
m087,Main Array,33.02477025080366,-107.39549107016894
m088,Main Array,32.69495002990718,-105.15490617375238
m089,Main Array,33.19902066913789,-106.07421442909957
m090,Main Array,32.88221456339053,-105.97014557967759
m091,Main Array,33.917972583677184,-105.26721771209363
m092,Main Array,33.26774212570222,-107.65242567180589
m093,Main Array,33.8942487506795,-107.31442194276313
m094,Main Array,33.870009556035804,-106.9186631063054
m095,Main Array,32.25549049638676,-108.65423561716327
m096,Main Array,34.21503999670285,-106.89116140191993
m097,Main Array,34.205155129731146,-106.41591369773575
m098,Main Array,34.351882164891116,-105.87624338339876
m099,Main Array,33.6793202686875,-106.4756504813379
m100,Main Array,33.528883257618965,-105.98810979505032
m101,Main Array,32.702133806943706,-103.99895985798963
m102,Main Array,33.89100488995698,-107.13091737030045
m103,Main Array,33.82635956327328,-107.0525399394197
m104,Main Array,33.794402398244614,-106.95557562655947
m105,Main Array,34.05298590639793,-107.9533167342436
m106,Main Array,33.82865086886597,-107.98372067183799
m107,Main Array,34.10399782246845,-108.40028186992504
m108,Main Array,32.85187461563992,-108.77360413089532
m109,Main Array,33.59836224880739,-107.67273956778558
m110,Main Array,33.337966165807565,-107.63981216692653
m111,Main Array,33.6088109789179,-108.61098543547072
m112,Main Array,31.330818218070725,-108.45422880298659
m113,Main Array,33.854469469636896,-104.7928253373419
m114,Main Array,32.94807099780028,-102.74853001053206
m115,Main Array,33.21517335544702,-102.40276783315818
m116,Main Array,30.49239235168541,-101.14009900767392
